Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
United States of America,Wyckoff,59,Moderate,1,Good,26,Good,10,Good,59,Moderate,40.9989,-74.1676,"""No description provided"""
Mexico,Xalatlaco,152,Unhealthy,3,Good,6,Good,17,Good,152,Unhealthy,19.1811,-99.4164,"""Xalatlaco is a municipality in Mexico State in Mexico. The municipality covers an area of 93.23 km2. It is one of the 17 municipalities that border Mexico City, bordering the capital city's southwest side."""
China,Xinyu,107,Unhealthy for Sensitive Groups,4,Good,89,Moderate,3,Good,107,Unhealthy for Sensitive Groups,27.795,114.9242,"""Xinyu, is a prefecture-level city in west-central Jiangxi province, People's Republic of China."""
Mexico,Xoxocotla,72,Moderate,2,Good,8,Good,9,Good,72,Moderate,18.685,-99.2439,"""No description provided"""
Russian Federation,Yalutorovsk,32,Good,1,Good,32,Good,0,Good,21,Good,56.65,66.2833,"""Yalutorovsk is a town in Tyumen Oblast, Russia, located on the Tobol River 75 kilometers (47 mi) southeast of Tyumen. Population: 36,493 (2010 Census); 36,088 (2002 Census); 36,841 (1989 Soviet census)."""
Russian Federation,Yaransk,33,Good,1,Good,32,Good,1,Good,33,Good,57.3167,47.9,"""Yaransk is a town and the administrative center of Yaransky District in Kirov Oblast, Russia, located on the Yaran River, 257 kilometers (160 mi) southwest of Kirov, the administrative center of the oblast."""
Russian Federation,Yelizovo,32,Good,1,Good,32,Good,1,Good,11,Good,53.1833,158.3833,"""Yelizovo is a town in Kamchatka Krai, Russia, located on the Avacha River 32 kilometers (20 mi) northwest of Petropavlovsk-Kamchatsky with a population of 39,569 (2010 Census);"""
China,Yushan,163,Unhealthy,5,Good,163,Unhealthy,14,Good,157,Unhealthy,31.3867,120.9766,"""No description provided"""
Russian Federation,Yuzha,48,Good,1,Good,29,Good,2,Good,48,Good,56.5833,42.0333,"""Yuzha is a town and the administrative center of Yuzhsky District in Ivanovo Oblast, Russia, located on Lake Vazal, 95 kilometers (59 mi) southeast of Ivanovo, the administrative center of the oblast. Population: 12,957 (2021 Census); 14,170 (2010 Census); 15,636 (2002 Census); 20,892 (1989 Soviet census)."""
El Salvador,Zacatecoluca,78,Moderate,2,Good,10,Good,13,Good,78,Moderate,13.5,-88.8667,"""Zacatecoluca is the capital municipality of the La Paz Department of El Salvador."""
Poland,Zakopane,52,Moderate,0,Good,36,Good,0,Good,52,Moderate,49.3,19.95,"""Zakopane is a town in the south of Poland, in the southern part of the Podhale region at the foot of the Tatra Mountains. From 1975 to 1998, it was part of Nowy Sącz Voivodeship; since 1999, it has been part of Lesser Poland Voivodeship. As of 2017 its population was 27,266. Zakopane is a centre of Goral culture and is often referred to as 'the winter capital of Poland'. It is a popular destination for mountaineering, skiing, and tourism."""
Hungary,Zalaegerszeg,79,Moderate,1,Good,39,Good,1,Good,79,Moderate,46.8392,16.8511,"""Zalaegerszeg is the administrative center of Zala county in western Hungary."""
China,Zaozhuang,160,Unhealthy,3,Good,160,Unhealthy,3,Good,87,Moderate,34.8667,117.55,"""Zaozhuang is a prefecture-level city in the south of Shandong province, People's Republic of China. Since January 2019, the smallest prefecture-level city in the province, it borders Jining to the west and north, Linyi to the east, and the province of Jiangsu to the south. The Battle of Taierzhuang occurred in the city during the Second Sino-Japanese War in 1938. The Second Sino-Japanese War (1937–45) had a significant impact on Zaozhuang."""
Spain,Zarautz,42,Good,0,Good,39,Good,0,Good,42,Good,43.2833,-2.1667,"""Zarautz is a coastal town located in central Gipuzkoa, Basque Country, in Spain. It is bordered by Aia to the east and the south and Getaria to the west, located about 15 kilometres (9.3 mi) west of San Sebastián. It has four enclaves limiting the aforementioned municipalities: Alkortiaga, Ekano, Sola, and Arbestain. As of 2014, Zarautz has a population of 22,890, which usually swells to about 60,000 in the summer."""
Russian Federation,Zarinsk,44,Good,1,Good,44,Good,0,Good,33,Good,53.7089,84.9672,"""Zarinsk is a town in Altai Krai, Russia, located on the Chumysh River 99 kilometers (62 mi) east of Barnaul. Population: 48,461 (2010 Census); 50,368 (2002 Census); 50,235 (1989 Soviet census)."""
Belgium,Zedelgem,33,Good,0,Good,31,Good,1,Good,33,Good,51.1431,3.1361,"""Zedelgem is a municipality located in the Belgian province of West Flanders. The municipality comprises the villages of Aartrijke, Loppem, Veldegem and Zedelgem proper. On January 1, 2019, Zedelgem had a total population of 22,813. The total area is 60.34 km2 (23.30 sq mi) which gives a population density of 378/km2 (980/sq mi)."""
Georgia,Zugdidi,50,Good,1,Good,34,Good,0,Good,50,Good,42.5083,41.8667,"""Zugdidi is a city in the western Georgian historical province of Samegrelo (Mingrelia). It is situated in the north-west of that province. The city is located 318 kilometres west of Tbilisi, 30 km from the Black Sea coast and 30 km from the Egrisi Range, at an elevation of 100–110 metres above sea level. Zugdidi is the capital of the Samegrelo-Zemo Svaneti region, which combines Samegrelo (Mingrelia) and upper part of Svaneti, and the centre of the Zugdidi Municipality within. Zugdidi is the sixth most populous city in Georgia."""
Belgium,Zulte,36,Good,0,Good,29,Good,2,Good,36,Good,50.9167,3.4333,"""Zulte is a Belgian municipality located in Flanders and in the Flemish province of East Flanders. The municipality comprises the towns of Machelen, Olsene and Zulte proper. In 2021, Zulte had a total population of 15,843. The total area is 32.52 km2."""
China,Wenzhou,145,Unhealthy for Sensitive Groups,2,Good,145,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,27.9991,120.6561,"""Wenzhou is a prefecture-level city in China's Zhejiang province. Wenzhou is located at the extreme southeast of Zhejiang, bordering Lishui to the west, Taizhou to the north, and the province of Fujian to the south. The area consists of mostly mountainous terrain, as well as hundreds of islands off the East China Sea coast, which is nearly 355 kilometres in length. It is said that the city's land is 70% mountains, 20% farmland, and 10% water. At the time of the 2010 Chinese census, 3,039,500 people lived in Wenzhou's urban area. The greater Wenzhou prefecture, which also includes three satellite cities and six counties, had a population totalling 9,122,100, of which 31.16% are residents originally from outside of Wenzhou."""
Germany,Wesseling,30,Good,0,Good,25,Good,2,Good,30,Good,50.8167,6.9667,"""Wesseling is an industrial German city on the Rhine bordering Cologne city on the south. With three chemical plants and a petroleum refinery within its city limits, it has an important place in the international petrochemical industry."""
United Kingdom of Great Britain and Northern Ireland,Widnes,32,Good,1,Good,21,Good,6,Good,32,Good,53.363,-2.728,"""Widnes is an industrial town in the Borough of Halton, Cheshire, England, which at the 2021 census had a population of 62,400."""
United States of America,Wilkinsburg,51,Moderate,1,Good,39,Good,3,Good,51,Moderate,40.4442,-79.8733,"""Wilkinsburg is a borough in Allegheny County, Pennsylvania, United States. The borough has a population of 14,349 as of the 2020 census. Wilkinsburg is located as part of the Pittsburgh metropolitan area. The borough was named for John Wilkins Jr., a United States Army officer who served as Quartermaster General of the United States Army from 1796 to 1802."""
United States of America,Willmar,46,Good,1,Good,33,Good,3,Good,46,Good,45.1216,-95.0569,"""No description provided"""
France,Wittenheim,42,Good,1,Good,26,Good,2,Good,42,Good,47.8075,7.3369,"""Wittenheim is a commune in the Haut-Rhin department, Grand Est, northeastern France. It is one of the northern suburbs of the city of Mulhouse, and forms part of the Mulhouse Alsace Agglomération, the inter-communal local government body for the Mulhouse conurbation. The commune contains two mining villages, the Cité Jeune-Bois and the Cité Sainte-Barbe."""
